Song,Gladys Knight Start ,Gladys Knight Finish ,Gladys Knight Length,Original Start,Original Finish,Original Length,Difference,Pct,Original Artist,Link
Feel Like Makin’ Love,10s,312s,302s,1s,174s,173s,129,1.75,Roberta Flack,https://www.whosampled.com/cover/166901/Gladys-Knight-%26-the-Pips-Feel-Like-Makin%27-Love-Roberta-Flack-Feel-Like-Makin%27-Love/
The Look of Love,12s,236s,224s,1s,140s,139s,85,1.61,Dusty Springfield,https://www.whosampled.com/cover/19325/Gladys-Knight-%26-the-Pips-The-Look-of-Love-Dusty-Springfield-The-Look-of-Love/
Yesterday,12s,198s,186s,5s,121s,116s,70,1.60,The Beatles,https://www.whosampled.com/cover/21579/Gladys-Knight-%26-the-Pips-Yesterday-The-Beatles-Yesterday/
Help Me Make It Through The Night,58s,253s,195s,6s,135s,129s,66,1.51,Kris Krisofferson,https://www.whosampled.com/cover/10389/Gladys-Knight-%26-the-Pips-Help-Me-Make-It-Through-the-Night-Kris-Kristofferson-Help-Me-Make-It-Through-the-Night/
For Once in My Life,20s,219s,199s,16s,165s,149s,50,1.34,Barbara McNair,https://www.whosampled.com/cover/270178/Gladys-Knight-%26-the-Pips-For-Once-in-My-Life-Barbara-McNair-For-Once-in-My-Life/
Groovin’,6s,173s,167s,9s,149s,140s,27,1.19,The Young Rascals,https://www.whosampled.com/cover/19335/Gladys-Knight-%26-the-Pips-Groovin%27-The-Young-Rascals-Groovin%27/
Midnight Train to Georgia,14s,274s,260s,12s,230s,218s,42,1.19,Cissy Houston,https://www.whosampled.com/cover/62335/Gladys-Knight-%26-the-Pips-Midnight-Train-to-Georgia-Cissy-Houston-Midnight-Train-to-Georgia/
I'm Gonna Make You Love Me,25s,213s,188s,22s,180s,158s,30,1.19,Dee Dee Warwick,https://www.whosampled.com/cover/92040/Gladys-Knight-%26-the-Pips-I%27m-Gonna-Make-You-Love-Me-Dee-Dee-Warwick-I%27m-Gonna-Make-You-Love-Me/
The Way We Were,22s,262s,240s,2s,206s,204s,36,1.18,Barbara Streisand,https://www.whosampled.com/Gladys-Knight-%26-the-Pips/The-Way-We-Were-Try-to-Remember/
The Need to Be,13s,240s,227s,11s,225s,214s,13,1.06,Jim Weatherly,https://www.whosampled.com/cover/48877/Gladys-Knight-%26-the-Pips-The-Need-to-Be-Jim-Weatherly-The-Need-to-Be/
Everybody Needs Love,11s,183s,172s,10s,174s,164s,8,1.05,The Temptations,https://www.whosampled.com/cover/51561/Gladys-Knight-%26-the-Pips-Everybody-Needs-Love-The-Temptations-Everybody-Needs-Love/
You’re The Best Thing That Ever Happened To Me,11s,218s,207s,11s,210s,199s,8,1.04,Ray Price,https://www.whosampled.com/cover/95370/Gladys-Knight-%26-the-Pips-Best-Thing-That-Ever-Happened-to-Me-Ray-Price-You%27re-the-Best-Thing-That-Ever-Happened-to-Me/
Tracks of My Tears,22s,185s,163s,9s,172s,163s,0,1.00,Smokey Robinson & The Miracles,https://www.whosampled.com/cover/19369/Gladys-Knight-%26-the-Pips-The-Tracks-of-My-Tears-Smokey-Robinson-The-Miracles-The-Tracks-of-My-Tears/
"Yes, I'm ready",19s,196s,177s,10s,18s,178s,-1,0.99,Barbara Mason,"https://www.whosampled.com/cover/72286/Gladys-Knight-%26-the-Pips-Yes-I%27m-Ready-Barbara-Mason-Yes,-I%27m-Ready/"
Baby Don’t Change Your Mind,22s,191s,169s,23s,193s,170s,-1,0.99,The Stylistics,https://www.whosampled.com/cover/168449/Gladys-Knight-%26-the-Pips-Baby-Don%27t-Change-Your-Mind-The-Stylistics-Baby-Don%27t-Change-Your-Mind/
I Wish It Would Rain,9s,159s,150s,9s,163s,154s,-4,0.97,The Temptations,https://www.whosampled.com/cover/21491/Gladys-Knight-%26-the-Pips-I-Wish-It-Would-Rain-The-Temptations-I-Wish-It-Would-Rain/
Cloud Nine,22s,188s,166s,23s,198s,175s,-9,0.95,The Temptations,https://www.whosampled.com/cover/21257/Gladys-Knight-%26-the-Pips-Cloud-Nine-The-Temptations-Cloud-Nine/
You’ve Lost That Lovin’ Feelin’,17s,222s,205s,16s,235s,219s,-14,0.94,The Righteous Brothers,https://www.whosampled.com/cover/57456/Gladys-Knight-%26-the-Pips-You%27ve-Lost-That-Lovin%27-Feelin%27-The-Righteous-Brothers-You%27ve-Lost-That-Lovin%27-Feelin%27/
I Feel A Song (In My Heart),12s,191s,179s,10s,208s,198s,-19,0.90,Sandra Richardson,https://www.whosampled.com/cover/62351/Gladys-Knight-%26-the-Pips-I-Feel-a-Song-(In-My-Heart-Again)-Sandra-Richardson-I-Feel-a-Song-(In-My-Heart)/
Let It Be,16s,213s,197s,12s,230s,218s,-21,0.90,The Beatles,https://www.whosampled.com/cover/19547/Gladys-Knight-%26-the-Pips-Let-It-Be-The-Beatles-Let-It-Be/
Is There a Place?,5s,206s,201s,3s,238s,235s,-34,0.86,THE SUPREMES,https://www.whosampled.com/cover/455641/Gladys-Knight-%26-the-Pips-Is-There-a-Place-(In-His-Heart-for-Me)-The-Supremes-Is-There-a-Place-(In-His-Heart-for-Me)/
