Year,Super Bowl,Singer,Start,End,Length,Length in seconds,Sex,Youtube link,Birthdate
2018,52,Pink,25s,2m 18s,1m 53s,113,F,https://www.youtube.com/watch?v=69ShK4TYHJk,1979-09-08
2017,51,Luke Bryan,2m 47s,4m 51s,2m 4s,124,M,https://www.youtube.com/watch?v=zBOnTez0CMM,1976-07-17
2016,50,Lady Gaga,51s,3m 1s,2m 10s,130,F,https://www.youtube.com/watch?v=UjbolhVVCYU,1986-03-28
2015,49,Idina Menzel,40s,2m 51s,2m 11s,131,F,https://www.youtube.com/watch?v=rU7N2aRYO_0,1971-05-30
2014,48,Renée Fleming,51s,2m 44s,1m 53s,113,F,https://www.youtube.com/watch?v=_GLKxDWw4bs,1959-02-14
2013,47,Alicia Keys,4m 6s,6m 41s,2m 35s,155,F,https://www.youtube.com/watch?v=i_iPbrG4G7E,1981-01-25
2012,46,Kelly Clarkson,47s,2m 20s,1m 33s,93,F,https://www.youtube.com/watch?v=5T4kOQ0wG7o,1982-04-24
2011,45,Christina Aguilera,35s,2m 29s,1m 54s,114,F,https://www.youtube.com/watch?v=Rk3w5sNgqj4,1980-12-18
2010,44,Carrie Underwood,43s,2m 30s,1m 47s,107,F,https://www.youtube.com/watch?v=IoSPFoV-6VU,1983-03-10
2009,43,Jennifer Hudson,50s,3m 1s,2m 11s,131,F,https://www.youtube.com/watch?v=M851_qHQ03A,1981-09-12
2008,42,Jordin Sparks,34s,2m 39s,2m 5s,125,F,https://www.youtube.com/watch?v=iVjG4NddwZs,1989-12-22
2007,41,Billy Joel,20s,1m 50s,1m 30s,90,M,https://www.youtube.com/watch?v=zmhTmKD6rXc,1949-05-09
2006,40,Aretha Franklin & Aaron Neville,25s,2m 24s,1m 59s,119,F,https://www.youtube.com/watch?v=7uhtNUeEaVg,1942-03-25
2005,39,US Military Academy Choirs,4m 3s,5m 52s,1m 49s,109,Ensemble,https://www.youtube.com/watch?v=BYTcgN8Mnlo,
2004,38,Beyonce,36s,2m 37s,2m 1s,121,F,https://www.youtube.com/watch?v=OhrrGu2rcZ4,1981-09-04
2003,37,Dixie Chicks,27s,1m 59s,1m 32s,92,Ensemble,https://www.youtube.com/watch?v=TJ2dcVYdpm0,1974-10-14
2002,36,Mariah Carrey,2m 48s,4m 44s,1m 56s,116,F,https://www.youtube.com/watch?v=bX_jE8gBVjQ,1970-03-27
2001,35,Backstreet Boys,1m 21s,3m 4s,1m 43s,103,Ensemble,https://www.youtube.com/watch?v=hpClr0vQQOY,1975-02-20
2000,34,Faith Hill,10s,2m 10s,2m,120,F,https://www.youtube.com/watch?v=EZllcWQh2NE,1967-09-21
1999,33,Cher,11s,1m 42s,1m 31s,91,F,https://www.youtube.com/watch?v=93nEwgX-IbI,1946-05-20
1998,32,Jewel,42s,2m 9s,1m 27s,87,F,https://www.youtube.com/watch?v=K0Imn8zhyXY,1974-05-23
1997,31,Luther Vandross,28s,2m 21s,1m 53s,113,M,https://www.youtube.com/watch?v=jW-1SaQsN5Q,1951-04-20
1996,30,Vanessa Williams,1m 1s,2m 36s,1m 35s,95,F,https://www.youtube.com/watch?v=nqVtLuWlb5g,1963-03-18
1995,29,Kathie Lee Gifford,50s,2m 26s,1m 36s,96,F,https://www.youtube.com/watch?v=nWJV14SIQOE,1953-08-16
1994,28,Natalie Cole,25s,2m 53s,2m 28s,148,F,https://www.youtube.com/watch?v=A2DUj2c68r0,1950-02-06
1993,27,Garth Brooks,38s,2m 22s,1m 44s,104,M,https://www.youtube.com/watch?v=_0xAlYYZni4,1962-02-07
1992,26,"Harry Connick, Jr.",38s,2m 45s,2m 7s,127,M,https://www.youtube.com/watch?v=mB-N2f_18vI,1967-09-11
1991,25,Whitney Houston,1m 17s,3m 13s,1m 56s,116,F,https://www.youtube.com/watch?v=N_lCmBvYMRs,1963-08-09
1990,24,Aaron Neville,39s,2m 4s,1m 25s,85,M,https://www.youtube.com/watch?v=h4dlgIePHq0,1941-01-24
1989,23,Billy Joel,29s,1m 54s,1m 25s,85,M,https://www.youtube.com/watch?v=pv8VEQzik4o,1949-05-09
1988,22,Herb Alpert (trumpet),13s,1m 46s,1m 33s,93,M,https://www.youtube.com/watch?v=GTVGDiZS6g4,1935-03-31
1987,21,Neil Diamond,18s,1m 19s,1m 1s,61,M,https://www.youtube.com/watch?v=FIVqsbx0ckg,1941-01-24
1986,20,Wynton Marsalis (trumpet),17s,1m 38s,1m 21s,81,M,,1961-10-18
1985,19,"San Francisco Boys Chorus, San Francisco Girls Chorus, Piedmont Children's Chorus, and San Francisco Children's Chorus",18s,1m 39s,1m 21s,81,Ensemble,https://www.youtube.com/watch?v=iWFT4KRM8KQ,
1984,18,Barry Manilow,17s,1m 52s,1m 35s,95,M,https://www.youtube.com/watch?v=_lsQxcKETXM,1943-06-17
1983,17,Leslie Easterbrook,36s,2m 8s,1m 32s,92,F,https://www.youtube.com/watch?v=cIVu0afUbfY,1949-07-29
1982,16,Diana Ross,22s,2m,1m 38s,98,F,https://www.youtube.com/watch?v=oGAki6VTx1Y,1944-03-26
1981,15,Helen O'Connell,30s,1m 51s,1m 21s,81,F,https://www.youtube.com/watch?v=1ItsdrZQufQ,1920-05-23
1980,14,Cheryl Ladd,1m 39s,2m 56s,1m 17s,77,F,https://www.youtube.com/watch?v=vR25r56HQCo,1951-07-12
1979,13,The Colgate Thirteen,21s,1m 40s,1m 19s,79,Ensemble,https://www.youtube.com/watch?v=jqM4HnPXpr8,
